label,name,list name,order
fault,fault,lg1ol67,0
solid-state,solid_state,lg1ol67,1
fold hinge,fold_hinge,lg1ol67,2
intersection,intersection,lg1ol67,3
flow,flow,lg1ol67,4
vector,vector,lg1ol67,5
other,other,lg1ol67,6
striations,striations,ww1bs55,
mullions,mullions,ww1bs55,
slickenfibers,slickenfibers,ww1bs55,
mineral streaks,mineral_streak,ww1bs55,
assymetric folds,assymetric_fol,ww1bs55,
other,other,ww1bs55,
stretching,stretching,wt9mt75,
rodding,rodding,wt9mt75,
boudin,boudin,wt9mt75,
other,other,wt9mt75,
centimeter,centimeter_sca,zq9sr00,
meter,meter_scale,zq9sr00,
kilometer,kilometer_scal,zq9sr00,
syncline,syncline,wg6ry31,0
anticline,anticline,wg6ry31,1
synform,synform,wg6ry31,2
antiform,antiform,wg6ry31,3
monocline,monocline,wg6ry31,4
s-fold,s_fold,wg6ry31,5
z-fold,z_fold,wg6ry31,6
m-fold,m_fold,wg6ry31,7
sheath,sheath,wg6ry31,8
unknown,unknown,wg6ry31,9
chevron,chevron,fa6tb91,0
cuspate,cuspate,fa6tb91,1
circular,circular,fa6tb91,2
elliptical,elliptical,fa6tb91,3
unknown,unknown,fa6tb91,
upright,upright,iq4bx64,0
overturned,overturned,iq4bx64,1
vertical,vertical,iq4bx64,2
horizontal,horizontal,iq4bx64,3
recumbent,recumbent,iq4bx64,4
inclined,inclined,iq4bx64,5
unknown,unknown,iq4bx64,
gentle   (180º –120º),gentle,ao3ks66,
open   (120º–70º),open,ao3ks66,
close   (70º–30º),close,ao3ks66,
tight   (30º–10º),tight,ao3ks66,
isoclinal   (10º–0º),isoclinal,ao3ks66,
North,north,iu9ug45,1
NE,ne,iu9ug45,3
East,east,iu9ug45,5
SE,se,iu9ug45,7
South,south,iu9ug45,9
SW,sw,iu9ug45,11
West,west,iu9ug45,13
NW,nw,iu9ug45,15
igneous,igneous,rm0pv08,0
metamorphic,metamorphic,rm0pv08,1
sedimentary,sedimentary,rm0pv08,2
sediment,sediment,rm0pv08,3
alluvium,alluvium,ej6zw88,
older alluvium,older_alluvium,ej6zw88,
colluvium,colluvium,ej6zw88,
lake deposit,lake_deposit,ej6zw88,
eolian,eolian,ej6zw88,
talus,talus,ej6zw88,
breccia,breccia,ej6zw88,
gravel,gravel,ej6zw88,
sand,sand,ej6zw88,
silt,silt,ej6zw88,
clay,clay,ej6zw88,
other,other,ej6zw88,
limestone,limestone,bt4yo56,
dolostone,dolostone,bt4yo56,
travertine,travertine,bt4yo56,
evaporite,evaporite,bt4yo56,
chert,chert,bt4yo56,
conglomerate,conglomerate,bt4yo56,
breccia,breccia,bt4yo56,
sandstone,sandstone,bt4yo56,
siltstone,siltstone,bt4yo56,
mudstone,mudstone,bt4yo56,
shale,shale,bt4yo56,
claystone,claystone,bt4yo56,
coal,coal,bt4yo56,
other,other,bt4yo56,
volcanic,volcanic,nm4yc64,
plutonic,plutonic,nm4yc64,
hypabyssal,hypabyssal,nm4yc64,
basalt,basalt,gw1hp47,0
basaltic-andesite,basaltic_andes,gw1hp47,1
andesite,andesite,gw1hp47,2
latite,latite,gw1hp47,3
dacite,dacite,gw1hp47,4
rhyolite,rhyolite,gw1hp47,5
tuff,tuff,gw1hp47,6
ash-fall tuff,ash_fall_tuff,gw1hp47,7
ash-flow tuff,ash_flow_tuff,gw1hp47,8
vitrophyre,vitrophyre,gw1hp47,10
trachyte,trachyte,gw1hp47,11
trachyandesite,trachyandesite,gw1hp47,12
tuff breccia,tuff_breccia,gw1hp47,13
lapilli tuff,lapilli_tuff,gw1hp47,14
other,other,gw1hp47,15
granite,granite,pu9hj08,0
alkali feldspar granite,alkali_feldspa,pu9hj08,1
quartz monzonite,quartz_monzoni,pu9hj08,2
syenite,syenite,pu9hj08,3
granodiorite,granodiorite,pu9hj08,4
monzonite,monzonite,pu9hj08,5
tonalite,tonalite,pu9hj08,6
diorite,diorite,pu9hj08,7
gabbro,gabbro,pu9hj08,9
anorthosite,anorthosite,pu9hj08,10
other,other,pu9hj08,15
low-grade,low_grade,yg0ew35,
medium-grade,medium_grade,yg0ew35,
high-grade,high_grade,yg0ew35,
slate,slate,yg0ew35,
phyllite,phyllite,yg0ew35,
schist,schist,yg0ew35,
gneiss,gneiss,yg0ew35,
marble,marble,yg0ew35,
quartzite,quartzite,yg0ew35,
amphibolite,amphibolite,yg0ew35,
serpentinite,serpentinite,yg0ew35,
hornfels,hornfels,yg0ew35,
metavolcanic,metavolcanic,yg0ew35,
calc-silicate,calc_silicate,yg0ew35,
mylonite,mylonite,yg0ew35,
other,other,yg0ew35,
Phanerozoic,phanerozoic,fy5ep25,
Proterozoic,proterozoic,fy5ep25,
Archean,archean,fy5ep25,
Hadean,hadean,fy5ep25,
Cenozoic,cenozoic,vz9ao44,
Mesozoic,mesozoic,vz9ao44,
Paleozoic,paleozoic,vz9ao44,
Neoproterozoic,neoproterozoic,gr2yp07,
Mesoproterozoic,mesoproterozoi,gr2yp07,
Paleoproterozoic,paleoproterozo,gr2yp07,
Neoarchean,neoarchean,fz38a59,
Mesoarchean,mesoarchean,fz38a59,
Paleoarchean,paleoarchean,fz38a59,
Eoarchean,eoarchean,fz38a59,
Quaternary,quaternary,lb7hu27,
Neogene,neogene,lb7hu27,
Paleogene,paleogene,lb7hu27,
Cretaceous,cretaceous,xu87d35,
Jurassic,jurassic,xu87d35,
Triassic,triassic,xu87d35,
Permian,permian,vh16g23,
Carboniferous,carboniferous,vh16g23,
Pennsylvanian,pennsylvanian,vh16g23,
Mississippian,mississippian,vh16g23,
Devonian,devonian,vh16g23,
Silurian,silurian,vh16g23,
Ordovician,ordovician,vh16g23,
Cambrian,cambrian,vh16g23,
Ediacaran,ediacaran,yx4re06,
Crygenian,crygenian,yx4re06,
Tonian,tonian,yx4re06,
Stenian,stenian,yx4re06,
Ectasian,ectasian,yx4re06,
Calymmian,calymmian,yx4re06,
Statherian,statherian,yx4re06,
Orosirian,orosirian,yx4re06,
Rhyacian,rhyacian,yx4re06,
SIderian,siderian,yx4re06,
Holocene,holocene,vd9wt91,
Pleistocene,pleistocene,vd9wt91,
Pliocene,pliocene,sw9pw60,0
Miocene,miocene,sw9pw60,1
Oligocene,oligocene,li0is11,
Eocene,eocene,li0is11,
Paleocene,paleocene,li0is11,
Late,late,ns6qv42,
Middle,middle,ns6qv42,
Early,early,ns6qv42,
Yes,yes,hz9zw76,
No,no,hz9zw76,
intact rock,intact_rock,jq8qd30,
fragmented rock,fragmented_roc,jq8qd30,
sediment,sediment,jq8qd30,
other,other,jq8qd30,
fabric / microstructure,fabric___micro,to0mv13,0
petrology,petrology,to0mv13,1
geochronology,geochronology,to0mv13,2
geochemistry,geochemistry,to0mv13,3
other,other,to0mv13,4
