name,type,label,required,hint,relevant,constraint,constraint_message,default,appearance
specific_foliation_element,select_one of53v22,Specific Foliation Element being Measured,false,,${foliation_type} = 'solid_state',,,not_specified,horizontal-compact
other_planar_feature,text,Other Planar Feature,true,,${planar_feature_type} = 'other',,,,
plane_facing,select_one to1en66,Plane Facing,false,,${planar_feature_type} = 'bedding' or ${planar_feature_type} = 'contact',,,upright,horizontal-compact
facing_direction,text,Facing Direction,false,,${strike} > -1 and ${plane_facing} = 'vertical',,,u,
measured_line,acknowledge,MEASURED LINE?,false,,,,,,
trend,integer,Trend,true,Azimuth in degrees,${measured_line} != '',. >= 0 and . <= 360,Trend must be between 0-360.,,
plunge,integer,Plunge,true,,${measured_line} != '',. >= 0 and . <= 90,Plunge must be between 0-90.,,
Rake,integer,Rake,false,angle from strike on plane (0-180)?,${measured_line} != '',,,,
rake_calculated,acknowledge,Rake Calculated?,true,"Was the rake calculated, instead of measured?",${measured_line} != '',,,,
linear_orientation_quality,select_one gl2mf38,Linear Orientation Quality,true,How accurate is the measurement? Irregular = curviplanar.,${measured_line} != '',,,accurate,horizontal-compact
linear_measurement_quality,select_one xn9nf56,Linear Measurement Quality,true,,${measured_line} != '',,,3,likert
linear_feature_type,select_one lg1ol67,Linear Feature Type,true,,${measured_line} != '',,,,horizontal
other_linear_feature,text,Other Linear Feature,true,,${linear_feature_type} = 'other',,,,
fault_lineations,select_one ww1bs55,Fault Lineations,false,,${linear_feature_type} = 'fault',,,,horizontal-compact
other_fault_lineation,text,Other Fault Lineation,true,,${fault_lineations} = 'other',,,,
solid_state_lineations,select_one wt9mt75,Solid-State Lineation,true,,${linear_feature_type} = 'solid_state',,,,horizontal-compact
other_solid_state_lineation,text,Other Solid-State Lineation,true,,${solid_state_lineations} = 'other',,,,
pencil_cleavage,acknowledge,Pencil Cleavage?,true,,${linear_feature_type} = 'intersection',,,,
intersection_lineation_descrip,text,Intersection Lineation Description,false,,${linear_feature_type} = 'intersection',,,,
crenulation,acknowledge,Crenulation?,false,,${linear_feature_type} = 'fold_hinge',,,,
approx_amplitude,select_one zq9sr00,Approximate Amplitude Scale of Related Folding,false,,${linear_feature_type} = 'fold_hinge',,,,horizontal-compact
dominant_fold_geometry,select_one wg6ry31,Dominant Fold Geometry,false,What is the shape of the fold when looking down-plunge?,${linear_feature_type} = 'fold_hinge',,,,horizontal-compact
dominant_fold_shape,select_one fa6tb91,Dominant Fold Shape,false,,${linear_feature_type} = 'fold_hinge',,,,horizontal-compact
dominant_fold_attitude,select_one iq4bx64,Dominant Fold Attitude,false,,${linear_feature_type} = 'fold_hinge',,,,horizontal-compact
tightness_interlimb_angle,select_one ao3ks66,Tightness / Interlimb Angle,false,,${linear_feature_type} = 'fold_hinge',,,,horizontal
vergence,select_one iu9ug45,Vergence,false,Approximate vergence fold asymmetry or other...irection from f,${linear_feature_type} = 'fold_hinge',,,,horizontal-compact
vector_magnitude_meters,decimal,Vector Magnitude (meters),false,,${linear_feature_type} = 'vector',,,,
structure_notes,text,Structure Notes,false,,,,,,
rock_description,acknowledge,Rock Description?,false,,,,,,
unit_label_abbreviation,text,Unit Label (abbreviation),false,,${rock_description} != '',,,,
map_unit_name,text,Map Unit Name,false,,${rock_description} != '',,,,
rock_type,select_one rm0pv08,Rock Type,false,,${rock_description} != '',,,,horizontal
sediment_type,select_one ej6zw88,Sediment Type,false,,${rock_type} = 'sediment',,,,horizontal
other_sediment_type,text,Other Sediment Type,true,,${sediment_type} = 'other',,,,
sedimentary_rock_type,select_one bt4yo56,Sedimentary Rock Type,false,,${rock_type} = 'sedimentary',,,,horizontal
other_sedimentary_rock_type,text,Other Sedimentary Rock Type,true,,${sedimentary_rock_type} = 'other',,,,
igneous_rock_class,select_one nm4yc64,Igneous Rock Class,false,,${rock_type} = 'igneous',,,,horizontal
volcanic_rock_type,select_one gw1hp47,Volcanic Rock Type,false,,${igneous_rock_class} = 'volcanic' or ${igneous_rock_class} = 'hypabyssal',,,,horizontal
other_volcanic_rock_type,text,Other Volcanic Rock Type,true,,${volcanic_rock_type} = 'other',,,,
plutonic_rock_types,select_one pu9hj08,Plutonic Rock Types,false,,${igneous_rock_class} = 'plutonic',,,,horizontal
other_plutonic_rock_type,text,Other Plutonic Rock Type,true,,${plutonic_rock_types} = 'other',,,,
metamorphic_rock_types,select_one yg0ew35,Metamorphic Rock Types,false,,${rock_type} = 'metamorphic',,,,
other_metamorphic_rock_type,text,Other Metamorphic Rock Type,true,,${metamorphic_rock_types} = 'other',,,,
description_lithology,note,Description / Lithology,false,,${rock_description} != '',,,,
absolute_age_of_geologic_unit_,decimal,Absolute Age of Geologic Unit (Ma),false,,${rock_description} != '',,,,
eon,select_one fy5ep25,Eon,false,,${rock_description} != '',,,,horizontal
phanerozoic_era,select_one vz9ao44,Phanerozoic Era,false,,${eon} = 'phanerozoic',,,,
proterozoic_era,select_one gr2yp07,Proterozoic Era,false,,${eon} = 'proterozoic',,,,horizontal
archean_era,select_one fz38a59,Archean Era,false,,${eon} = 'archean',,,,horizontal
cenozoic_period,select_one lb7hu27,Cenozoic Period,false,,${phanerozoic_era} = 'cenozoic',,,,
mesozoic_period,select_one xu87d35,Mesozoic Period,false,,${phanerozoic_era} = 'mesozoic',,,,
paleozoic_period,select_one vh16g23,Paleozoic Period,false,,${phanerozoic_era} = 'paleozoic',,,,
proterozoic_and_archean_period,select_one yx4re06,Proterozoic and Archean Period,false,,${eon} = 'proterozoic' or ${eon} = 'archean',,,,horizontal
quaternary_epoch,select_one vd9wt91,Quaternary Epoch,false,,${cenozoic_period} = 'quaternary',,,,horizontal-compact
neogene_epoch,select_one sw9pw60,Neogene Epoch,false,,${cenozoic_period} = 'neogene',,,,horizontal-compact
paleogene_epoch,select_one li0is11,Paleogene Epoch,false,,${cenozoic_period} = 'paleogene',,,,horizontal-compact
age_modifier,select_one ns6qv42,Age Modifier,false,,${rock_description} != '',,,,horizontal-compact
rock_sample,acknowledge,Rock Sample?,false,,,,,,
oriented_sample,select_one hz9zw76,Oriented Sample,false,,${rock_sample} != '',,,,
sample_orientation_strike,integer,Sample Orientation Strike,true,What's the strike of orientation mark / surface?,${oriented_sample} = 'yes',. <= 360 and . >= 0,Strike must be between 0-360.,,
sample_orientation_dip,integer,Sample Orientation Dip,true,What's the dip of orientation mark / surface?,${oriented_sample} = 'yes',. >= 0 and . <= 90,Dip must be between 0-90.,,
material_type,select_one jq8qd30,Material Type,false,,${rock_sample} != '',,,,horizontal
material_details_and_other,note,Material Details and Other,false,,${rock_sample} != '',,,,
sample_size_cm,decimal,Sample Size (cm),false,,${rock_sample} != '',,,,
main_sampling_purpose,select_one to0mv13,Main Sampling Purpose,false,,${rock_sample} != '',,,,horizontal
sample_description,note,Sample Description,false,,${rock_sample} != '',,,,
inferred_age_of_sample_ma,decimal,Inferred Age of Sample (Ma),false,,${rock_sample} != '',,,,
start,start,,,,,,,,
end,end,,,,,,,,
